,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
2816,3027 Angus Street, 3027 Angus Street, Los Angeles, CA,90039, Call, Architecture Style: Bungalow; Covered Parking Spaces: 2; Dryer; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Wall; Laundry: In Unit; MLS Listing ID: 18316694; Washer; Year Built: 1950,Medium, 323-667-0700, https://hotpads.com/3027-angus-st-los-angeles-ca-90039-1m2pb5b/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
2817,1467 N Kings Road, 1467 N Kings Road, West Hollywood, CA,90069, Call, Air Conditioning; Dryer; Flooring: Hardwood; Furnished; Garage; Laundry: In Unit; Patio Balcony; Washer,Low, 512-296-5651, https://hotpads.com/1467-n-kings-rd-west-hollywood-ca-90069-sm4j0q/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
2818,15252 Devonshire Street, 15252 Devonshire Street, Mission Hills, CA,91345, Call, Air Conditioning; Carport; Dryer; Flooring: Hardwood; Flooring: Tile; Heating system: Heat: forced air; Laundry: In Unit; Off Street Parking; Parking Spaces: 4; Small Dogs Allowed; Washer; Year Built: 1979,Low, 818-363-3528, https://hotpads.com/15252-devonshire-st-mission-hills-ca-91345-tyy99t/pad,,,,,18496.0,5708.64197531,285279199.0,15423.8321259,5412.0
2819,620 Hauser Boulevard, 620 Hauser Boulevard, Los Angeles, CA,90036,1850, ,High, hotpads, https://hotpads.com/620-hauser-blvd-los-angeles-ca-90036-1m2nzea/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
2820,11060 W Sunset, 11060 W Sunset, Los Angeles, CA,90049, Call, Attached Garage; Cable TV Ready; Ceiling Fan; Covered Parking Spaces: 3; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Marble; Flooring: Tile; Freezer; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18312194; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 1950,Low, 310-739-4216, https://hotpads.com/11060-w-sunset-blvd-los-angeles-ca-90049-skx8b2/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
2821,8104 Stewart Avenue, 8104 Stewart Avenue, Los Angeles, CA,90045, Call, Attached Garage; Ceiling Fan; Detached Garage; Dryer; Heating system: Heat: forced air; Landscaping included in rent; Laundry: In Unit; Parking Spaces: 1; Sprinkler System; Washer; Year Built: 1945; Double Pane Windows; Porch,Medium, 310-968-9836, https://hotpads.com/8104-stewart-ave-los-angeles-ca-90045-u2gjq7/pad,,,,,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
2822,8845 Glider Avenue, 8845 Glider Avenue, Los Angeles, CA,90045, Call, Flooring: Hardwood; Furnished; Laundry: Shared; STORAGE; UTILITIES INCLUDING; WIFI,High, 310-422-7369, https://hotpads.com/8845-glider-ave-los-angeles-ca-90045-1m2qn6s/pad,,,,,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
2823,S Holt Avenue, S Holt Avenue, Los Angeles, CA,90035, Call, Parking Spaces: 2; Patio Balcony; Refrigerator,Low, 310-933-4191, https://hotpads.com/1065-s-holt-ave-los-angeles-ca-90035-1n1wv31/pad,,,,,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
2824,1215 Granville Avenue, 1215 Granville Avenue, Los Angeles, CA,90025,1725, Cats Allowed; Dogs Allowed; Flooring: Hardwood; Flooring: Tile; Large Dogs Allowed; Small Dogs Allowed; recessed lighting; stainless steel appliances,High, 424-543-4181, https://hotpads.com/1215-granville-avenue-los-angeles-ca-90025-tturk5/pad,,,,,42147.0,16399.6108949,,,23058.0
2825,740 Laconia Boulevard, 740 Laconia Boulevard, Los Angeles, CA,90044,1795, ,Low, hotpads, https://hotpads.com/740-laconia-blvd-los-angeles-ca-90044-snrkp6/pad,66, $1795, 424-331-1600, https://www.apartments.com/740-laconia-blvd-los-angeles-ca/s539f65/,89779.0,17466.7315175,698006487.0,7774.71888749,27479.0
2826,22933 Lull Street, 22933 Lull Street, West Hills, CA,91304, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,Medium, hotpads, https://hotpads.com/22933-lull-st-canoga-park-ca-91304-1m3gtqx/pad,,,,,50231.0,5338.04463337,894798302.0,17813.6668989,17456.0
2827,6000 Temple Hill Drive Street, 6000 Temple Hill Drive Street, Los Angeles, CA,90068, Call, Attached Garage; Dryer; Flooring: Hardwood; Flooring: Marble; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18307780; View Type: Mountain View; Washer; Year Built: 1924,Medium, 626-204-7100, https://hotpads.com/6000-temple-hill-dr-los-angeles-ca-90068-1m2sxp8/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
2828,4064 Redwood Avenue, 4064 Redwood Avenue, Los Angeles, CA,90066, Call, Air Conditioning; Attached Garage; Cats Allowed; Ceiling Fan; Dryer; Electricity not included in rent; Fenced Yard; Garbage Disposal; Garbage not included in rent; Gas not included in rent; Laundry: In Unit; Lawn; Master bath; Off Street Parking; Parking Spaces: 2; Refrigerator; Small Dogs Allowed; Washer; Water not included in rent; Double Pane Windows; Range/Oven; Stainless steel appliances,High, 310-776-0102, https://hotpads.com/4064-redwood-ave-los-angeles-ca-90066-w3w3rk/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
2829,Met Lofts, 1050 S Flowers Street, Los Angeles, CA,90015,2112, Cats Allowed; Courtyards With Water Features; Custom Window Treatments; Dryer; Energy And Sound Efficient Concrete Construction; Energy Efficient Lighting; Energy Efficient Windows; Energy Star Appliances; Expansive 10 To 14 Ft Ceilings; Fitness Center; Flooring: Wood; Garage; Green Friendly Community; High-speed Internet Ready; Large Dogs Allowed; Laundry: In Unit; Modern Track Lighting; Online Payments Available; Onsite Recycling Program; Outdoor Dining And Entertainment Area; Package Service; Parking Lot; Patio Balcony; Programmable Thermostats; Security: Doorman; Security: Night Patrol; Small Dogs Allowed; Sophisticated Granite Countertops; Spacious Open Loft Style Floor Plans; Spacious Walk-In Closets; Stories: 7; Swimming Pool; Washer; Wired For Technology; Year Built: 2005,Medium, 1-323-745-8455, https://hotpads.com/met-lofts-los-angeles-ca-90015-skfkx1/pad,67, $1924 - 5380, 213-455-5967, https://www.apartments.com/met-lofts-los-angeles-ca/4rsnpph/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
2830,10837 Alta View Drive, 10837 Alta View Drive, Studio City, CA,91604, Call, Architecture Style: Contemporary; Attached Garage; Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Hardwood; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18317076; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 1973,Low, 323-481-2061, https://hotpads.com/10837-alta-view-dr-studio-city-ca-91604-1m3w72t/pad,,,,,29034.0,5637.66990291,1065561227.0,36700.4624578,15373.0
2831,11668 Idaho Avenue, 11668 Idaho Avenue, Los Angeles, CA,90025, Call, Laundry: Shared; Utilities included in rent,High, 310-923-8665, https://hotpads.com/11668-idaho-ave-los-angeles-ca-90025-1m2kxvy/pad,,,,,42147.0,16399.6108949,,,23058.0
2832,532 N Rampart Boulevard, 532 N Rampart Boulevard, Los Angeles, CA,90026, Call, Air Conditioning; Cats Allowed; Dryer; Electricity not included in rent; Flooring: Hardwood; Garbage not included in rent; Gas not included in rent; Laundry: In Unit; Patio Balcony; Sewage included in rent; Small Dogs Allowed; Washer; Water included in rent,Medium, 818-326-0315, https://hotpads.com/532-n-rampart-blvd-los-angeles-ca-90026-1n1w964/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
2833,20757 Haynes Street, 20757 Haynes Street, Canoga Park, CA,91306, Call, Dryer; Heating system: Forced Air; Heating: Wood; Laundry: In Unit; MLS Listing ID: SR18051494; Washer; Year Built: 1956,Low, 818-223-9100, https://hotpads.com/20757-haynes-st-winnetka-ca-91306-1m3h79q/pad,-, $2950, 818-462-8446, https://www.apartments.com/20757-haynes-st-los-angeles-ca/rgsfce0/,45061.0,10884.2995169,699795640.0,15529.9624953,14389.0
2834,The Embassy Apartments, 1223 Federal Avenue, Los Angeles, CA,90025,2298, Air Conditioning; Cats Allowed; Dishwasher; Elevator; Garage; Garbage included in rent; Laundry: Shared; Microwave Oven; Multi-level Garage; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Patio Balcony; Security: Intercom; Small Dogs Allowed; Swimming Pool,High, 1-424-296-4093, https://hotpads.com/the-embassy-apartments-los-angeles-ca-90025-skhm6u/pad,,,,,42147.0,16399.6108949,,,23058.0
2835,3/4 Evans Street W, 3/4 Evans Street W, Los Angeles, CA,90027, Call, Air Conditioning; Laundry: Shared; No Utilities included in rent; Off Street Parking; Sewage included in rent; Water included in rent,High, 818-636-8709, https://hotpads.com/3837-34-evans-st-los-angeles-ca-90027-1tybkgt/pad,,,,,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
2836,23941 Bessemer Street, 23941 Bessemer Street, Woodland Hills, CA,91367, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Small Dogs Allowed; Washer,Low, 818-292-5413, https://hotpads.com/23941-bessemer-st-woodland-hills-ca-91367-1m3sgsy/pad,,,,,39499.0,5309.00537634,1030182882.0,26081.2395757,18210.0
2837,425 N Gardner Street, 425 N Gardner Street, Los Angeles, CA,90036, Call, Architecture Style: Low Rise; MLS Listing ID: 18-323458; Year Built: 1928,Medium, 323-810-1593, https://hotpads.com/425-n-gardner-st-los-angeles-ca-90036-t4x6ve/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
2838,426 S New Hampshire Avenue, 426 S New Hampshire Avenue, Los Angeles, CA,90020, Call, Cats Allowed; Electricity not included in rent; Elevator; Flooring: Hardwood; Gas included in rent; Laundry: Shared; Near Transportation; Refrigerator; Secured entry; Vintage; Water included in rent; Year Built: 1928; Range/Oven,Medium, 310-710-9361, https://hotpads.com/426-s-new-hampshire-ave-los-angeles-ca-90020-1pk1207/pad,-, $1275, 844-809-5277, https://www.apartments.com/426-s-new-hampshire-ave-los-angeles-ca/ed1fz2m/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
2839,1819 Kelton, 1819 Kelton Avenue, Los Angeles, CA,90025,4495, Building Application Fee: 35; Cats Allowed; Dishwasher; Dryer; Flooring: Laminate; Freezer; Garbage Disposal; Large Dogs Allowed; Laundry: In Unit; Microwave Oven; One Year Lease; Oven; Patio Balcony; Range; Refrigerator; Security: Controlled Access; Six Month Lease; Small Dogs Allowed; Stories: 4; Underground Garage; View Type: City; Washer; Year Built: 2018,High, 1-424-329-6595, https://hotpads.com/1819-kelton-los-angeles-ca-90025-1m2m2a4/pad,,,,,42147.0,16399.6108949,,,23058.0
2840,22019 Lemarsh Street, 22019 Lemarsh Street, Chatsworth, CA,91311, Call, Attached Garage; Condo Floor Number: 2; Covered Parking Spaces: 4; Fireplace; Garbage Disposal; Heating system: Central Furnace; Lawn; Lot Size: 1.485; MLS Listing ID: SR18054587; Microwave Oven; Patio Balcony; School District: Los Angeles Unified; View Type: None; Washer; Year Built: 1977; Porch; Range/Oven,Low, 818-534-4566, https://hotpads.com/22019-lemarsh-st-chatsworth-ca-91311-sku94d/pad,,,,,36557.0,1139.55735661,900828883.0,24641.7617146,14021.0
2841,16930 Gault Street, 16930 Gault Street, Lake Balboa, CA,91406, Call, Attached Garage; Ceiling Fan; Condo Floor Number: 1; Covered Parking Spaces: 2; Dryer; Laundry: In Unit; MLS Listing ID: SR18056004; School District: Los Angeles Unified; View Type: Neighborhood; Washer; Year Built: 1949,Medium, 818-312-3164, https://hotpads.com/16930-gault-st-van-nuys-ca-91406-1m3urz6/pad,,,,,51558.0,6341.69741697,769046964.0,14916.1519842,18034.0
2842,18914 Harnett Street, 18914 Harnett Street, Northridge, CA,91326, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; Fireplace; Furnished; Heating system: Central Furnace; MLS Listing ID: SR18023738; School District: Los Angeles Unified; Swimming Pool; View Type: None; Year Built: 1974,Low, 818-388-5361, https://hotpads.com/18914-harnett-st-porter-ranch-ca-91326-1m3khep/pad,,,,,33708.0,4130.88235294,919431592.0,27276.3614572,12206.0
2843,1670 257th Street, 1670 257th Street, Harbor City, CA,90710, Call, Air Conditioning; Dryer; Easy access to freeways; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,Medium, 562-715-5950, https://hotpads.com/1670-257th-st-harbor-city-ca-90710-1m37paj/pad,,,,,25457.0,10786.8644068,430446435.0,16908.7651726,9061.0
2844,1731 Federal Avenue, 1731 Federal Avenue, Los Angeles, CA,90025,4190, ,High, hotpads, https://hotpads.com/1731-federal-ave-los-angeles-ca-90025-1tza377/pad,,,,,42147.0,16399.6108949,,,23058.0
2845,1701 N Beverly Drive, 1701 N Beverly Drive, Beverly Hills, CA,90210, Call, Architecture Style: Contemporary; Cable TV Ready; Covered Parking Spaces: 2; Dryer; Elevator; Exterior Type: Stucco; Fireplace; Flooring: Carpet; Flooring: Marble; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18317268; Microwave Oven; Refrigerator; Security: Intercom; Storage Space; Washer; Year Built: 1989,Low, 424-202-3267, https://hotpads.com/1701-n-beverly-dr-beverly-hills-ca-90210-1n20dbe/pad,,,,,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
2846,1653 Sunset Plaza Drive, 1653 Sunset Plaza Drive, Los Angeles, CA,90069, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Deck; Furnished; Heating system: Central; MLS Listing ID: 18320962; View Type: City View; Year Built: 1947,Low, 310-275-3915, https://hotpads.com/1653-sunset-plaza-dr-west-hollywood-ca-90069-tpyf0x/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
2847,3581 Avenida Del Sol, 3581 Avenida Del Sol, Los Angeles, CA,91604, Call, Cable TV Ready; Cats Allowed; Dogs Allowed; Garbage Disposal; Oven; Range; Refrigerator; Small Dogs Allowed; Washer,Medium, 310-498-8924, https://hotpads.com/3581-avenida-del-sol-studio-city-ca-91604-1m3wd5h/pad,79, $5500, 657-325-0284, https://www.apartments.com/3581-avenida-del-sol-los-angeles-ca/gt49tny/,29034.0,5637.66990291,1065561227.0,36700.4624578,15373.0
2848,717 S Westgate Avenue, 717 S Westgate Avenue, Los Angeles, CA,90049, Call, Architecture Style: Mediterranean; MLS Listing ID: 18-306158,Low, 310-800-4988, https://hotpads.com/717-s-westgate-ave-los-angeles-ca-90049-1txvp13/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
2849,4452 Ensign Avenue, 4452 Ensign Avenue, W Toluca Lake, CA,91602,1750, ,High, 818-809-7721, https://hotpads.com/4452-ensign-avenue-north-hollywood-ca-91602-snrdc3/pad,,,,,17473.0,8523.41463415,555014995.0,31764.1501173,9946.0
2850,8109 Pershing Drive, 8109 Pershing Drive, Playa Del Rey, CA,90293, Call, Cats Allowed; Dogs Allowed; Small Dogs Allowed,Low, 310-306-9005, https://hotpads.com/8109-pershing-dr-playa-del-rey-ca-90293-1m2zzp9/pad,,,,,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
2851,626 N Alvarado Street, 626 N Alvarado Street, Los Angeles, CA,90026, Call, Air Conditioning; Cats Allowed; Disabled Access; Dogs Allowed; Dryer; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,High, 310-985-4313, https://hotpads.com/626-n-alvarado-st-los-angeles-ca-90026-1n1w9an/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
2852,7417 Dunfield Avenue, 7417 Dunfield Avenue, Los Angeles, CA,90045, Call, Cats Allowed; Dryer; Flooring: Hardwood; Garage; Landscaping included in rent; Laundry: In Unit; Off Street Parking; Small Dogs Allowed; Washer,Medium, 310-720-8160, https://hotpads.com/7417-dunfield-ave-los-angeles-ca-90045-1m2qftz/pad,70, $4950, 855-304-9991, https://www.apartments.com/7417-dunfield-ave-westchester-ca/qqy77nx/,39480.0,3679.40354147,1086342467.0,27516.273227,16127.0
2853,1445 S Sherbourn, 1445 S Sherbourn, Los Angeles, CA,90035,3295, ,Medium, hotpads, https://hotpads.com/1445-s-sherbourne-dr-los-angeles-ca-90035-skmv7u/pad,,,,,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
2854,Casa Del Riverside, 11818 Riverside Drive, Valley Village, CA,91607,1795, 24 Hour Maintenance; Air Conditioning; Barbecue; Cable TV Ready; Cats Allowed; Ceiling Fan; Club House; Dishwasher; Elevator; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Laminate; Flooring: Tile; Freezer; Garage; Garbage Disposal; Heating: Heat pump; Heating: Other; High-speed Internet Ready; Hot Tub; Hot water included in rent; Laundry: Shared; Microwave Oven; More Than One Year Lease; On-Site Management; Oven; Patio Balcony; Range; Satellite TV Ready; Security: Controlled Access; Security: Gated Entry; Sewage included in rent; Storage Space; Stories: 4; Swimming Pool; Water included in rent,High, 1-818-918-2169, https://hotpads.com/casa-del-riverside-valley-village-ca-91607-skfh4r/pad,,,,,27927.0,11445.4918033,611687844.0,21903.0989365,13841.0
2855,719 E 84th Place, 719 E 84th Place, Los Angeles, CA,90001, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; MLS Listing ID: CV18035617; No Air Conditioning; School District: Los Angeles Unified; View Type: None; Year Built: 1930,Low, 323-899-6600, https://hotpads.com/719-e-84th-pl-los-angeles-ca-90001-1n1sw7k/pad,,,,,57110.0,16317.1428571,421709138.0,7384.15580459,13788.0
2856,2340 Edgewater Terrace, 2340 Edgewater Terrace, Los Angeles, CA,90039, Call, Air Conditioning; Attached Garage; Detached Garage; Dryer; Fenced Yard; Freezer; Garage; Garbage Disposal; Garden; Heating system: Heat: forced air; Laundry: In Unit; Master bath; Microwave Oven; Off Street Parking; Parking Spaces: 1; Patio Balcony; Refrigerator; Small Dogs Allowed; Street Parking; Vintage; Washer; Yard; Year Built: 1925; sprinkler system; Porch; Range/Oven; Stainless steel appliances; Wired,High, 310-968-7626, https://hotpads.com/2340-edgewater-ter-los-angeles-ca-90039-tzxfc3/pad,,,,,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
2857,5350 2nd Avenue, 5350 2nd Avenue, Los Angeles, CA,90043, Call, Cable TV Ready; Cable included in rent; Garbage Disposal; Microwave Oven; Parking Type: none; Refrigerator; Security: Gated Entry; Utilities included in rent; Year Built: 1922; Alarm,High, 626-222-6621, https://hotpads.com/5350-2nd-ave-los-angeles-ca-90043-1m2q7qa/pad,,,,,44789.0,10844.7941889,615346996.0,13738.7973833,17172.0
2858,371 Dalkeith Avenue, 371 Dalkeith Avenue, Los Angeles, CA,90049, Call, Covered Parking Spaces: 2; Fireplace; Flooring: Carpet; Flooring: Hardwood; Heating system: Central; MLS Listing ID: 18322344; Refrigerator; Washer; Year Built: 1948,Low, 424-321-4945, https://hotpads.com/371-dalkeith-ave-los-angeles-ca-90049-1m2r8ug/pad,,,,,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
2859,840 Cherokee Avenue, 840 Cherokee Avenue, Los Angeles, CA,90038, Call, Exterior Type: Stucco; Fireplace; Flooring: Tile; Furnished; Heating: Gas; MLS Listing ID: 15825115; Patio Balcony; Washer; Year Built: 2008,Medium, 424-230-4178, https://hotpads.com/840-n-cherokee-ave-los-angeles-ca-90038-u2kp83/pad,,,,,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
2860,10432 Vassar Avenue, 10432 Vassar Avenue, Chatsworth, CA,91311, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; Fireplace; Heating system: Central Furnace; MLS Listing ID: SR18047759; School District: Los Angeles Unified; View Type: None; Year Built: 1963,Low, 818-271-7764, https://hotpads.com/10432-vassar-ave-chatsworth-ca-91311-1m3hnwp/pad,,,,,36557.0,1139.55735661,900828883.0,24641.7617146,14021.0
2861,762 W 131st Street, 762 W 131st Street, Gardena, CA,90247, Call, Ceiling Fan; Fireplace; Flooring: Carpet; Flooring: Laminate; Flooring: Wood; Laundry: Shared; controlled acess key only; conventional/original lighting; walk in closet,Low, 818-517-8585, https://hotpads.com/762-w-131st-st-gardena-ca-90247-1n21r39/pad,,,,,47487.0,12663.2,654005584.0,13772.3078737,16620.0
2862,633 E 76th Street, 633 E 76th Street, Los Angeles, CA,90001, Call, Ceiling Fan; Garbage Disposal; Security: Gated Entry; Year Built: 2015,Low, 310-990-6990, https://hotpads.com/633-e-76th-st-los-angeles-ca-90001-1n1svtr/pad,,,,,57110.0,16317.1428571,421709138.0,7384.15580459,13788.0
2863,875 Burrell Street, 875 Burrell Street, Venice, CA,90292, Call, Attached Garage; Ceiling Fan; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18308362; Patio Balcony; Refrigerator; Spa; Washer; Year Built: 1967,Low, 310-578-5414, https://hotpads.com/875-burrell-st-marina-del-rey-ca-90292-1m2zxkg/pad,,,,,21576.0,10576.4705882,881361201.0,40849.1472469,14585.0
2864,NoHo Centre, 5807 Laurel Canyon Boulevard, Valley Village, CA,91607,1899, Air Conditioning; Breakfast Bar; Cable TV Ready; Carpeting; Cats Allowed; Ceiling Fan; Central Heater & A/C; Courtyard; Designer Paint; Dishwasher; Dogs Allowed; Dryer; Electric Stove; Electronic Thermostat; Elevator; Garbage Disposal; Hard Surface Flooring*; Large Dogs Allowed; Large Floorplan; Laundry: In Unit; Laundry: Shared; Linen Closet; Off Street Parking; On-Site Management; Patio Balcony; Recycling; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Walk-In Pantry; Washer,High, 1-747-800-4013, https://hotpads.com/noho-centre-valley-village-ca-91607-ssg9g9/pad,,,,,27927.0,11445.4918033,611687844.0,21903.0989365,13841.0
2865,1514 Micheltorena Street, 1514 Micheltorena Street, Los Angeles, CA,90026, Call, Air Conditioning; Attached Garage; Cable TV Ready; Cats Allowed; Ceiling Fan; Detached Garage; Flooring: Hardwood; Flooring: Tile; Heating system: Heat: forced air; High-speed Internet Ready; Laundry: Shared; Parking Spaces: 1; Small Dogs Allowed; Yard; Range/Oven,High, hotpads, https://hotpads.com/1514-micheltorena-st-los-angeles-ca-90026-1m2m90j/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
2866,Eagle Rock Boulevard, Eagle Rock Boulevard, Los Angeles, CA,90065, Call, Air Conditioning; Attached Garage; Cable not included in rent; Dryer; Electricity not included in rent; Fenced Yard; Flooring: Hardwood; Freezer; Furnished; Garbage Disposal; Garbage not included in rent; High-speed Internet Ready; Internet not included in rent; Laundry: In Unit; Master bath; Microwave Oven; Near Transportation; New property; Parking Spaces: 1; Patio Balcony; Refrigerator; Secured entry; Security: Controlled Access; Security: Gated Entry; Street Parking; Washer; Water not included in rent; Year Built: 2015; Double Pane Windows; Range/Oven,Medium, 909-363-6239, https://hotpads.com/3901-eagle-rock-blvd-los-angeles-ca-90065-tn16er/pad,,,,,45527.0,8622.53787879,749994392.0,16473.6176774,15288.0
2867,17400 Burbank Boulevard, 17400 Burbank Boulevard, Encino, CA,91316,1525, ,High, hotpads, https://hotpads.com/17400-burbank-blvd-encino-ca-91316-tp6u60/pad,,,,,26898.0,5368.86227545,817003808.0,30374.1470741,12692.0
2868,19144 Erwin, 19144 Erwin, Tarzana, CA,91335, Call, Electricity included in rent; Garbage included in rent; Gas included in rent; Internet included in rent; MLS Listing ID: SR18045194; School District: Los Angeles Unified; View Type: None; Water included in rent; Year Built: 1951,Medium, 818-522-4329, https://hotpads.com/19144-erwin-st-reseda-ca-91335-1m3mbmq/pad,,,,,74363.0,11335.8231707,1009024951.0,13568.9113,24158.0
2869,138 Mabery Road, 138 Mabery Road, Santa Monica, CA,90402, Call, Cable TV Ready; Covered Parking Spaces: 2; Detached Garage; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Terrazzo; Flooring: Tile; Freezer; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17294814; Patio Balcony; Refrigerator; Washer; Year Built: 1991,Low, 310-858-0660, https://hotpads.com/138-mabery-rd-santa-monica-ca-90402-sp21fr/pad,,,,,12250.0,6125.0,860389063.0,70235.8418776,5945.0
2870,4207 Beeman Avenue, 4207 Beeman Avenue, Studio City, CA,91604, Call, Architecture Style: Modern; Attached Garage; Covered Parking Spaces: 4; Fireplace; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; Heating: Gas; MLS Listing ID: 18324196; Microwave Oven; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 2018,Low, 818-535-8755, https://hotpads.com/4207-beeman-ave-studio-city-ca-91604-1m3wfkg/pad,,,,,29034.0,5637.66990291,1065561227.0,36700.4624578,15373.0
2871,12433 Pacific, 12433 Pacific Avenue, Los Angeles, CA,90066,2300, Administrative Fee: 25; Building Deposit Fee Minimum: 150; Cable TV Ready; Ceiling Fan; Dishwasher; Flooring: Carpet; Flooring: Laminate; Garbage Disposal; Garbage included in rent; Hot water included in rent; Laundry: Shared; Microwave Oven; One Year Lease; Oven; Patio Balcony; Range; Refrigerator; Sewage included in rent; Underground Garage; Water included in rent,High, hotpads, https://hotpads.com/12433-pacific-los-angeles-ca-90066-1m2scwh/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
2872,17950 Burbank Boulevard, 17950 Burbank Boulevard, Encino, CA,91316,1650, Air Conditioning; Cats Allowed; Ceiling Fan; Dishwasher; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Large Dogs Allowed; Laundry: Shared; Off Street Parking; On-Site Management; Patio Balcony; Small Dogs Allowed; Stove; Swimming Pool,Medium, 818-342-1425, https://hotpads.com/encino-glen-encino-ca-91316-smw3b3/pad,,,,,26898.0,5368.86227545,817003808.0,30374.1470741,12692.0
2873,17352 W Sunset, 17352 W Sunset, Pacific Palisades, CA,90272,4100, ,High, hotpads, https://hotpads.com/17352-w-sunset-blvd-pacific-palisades-ca-90272-skmx91/pad,,,,,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
2874,1124 Sierra Alta Way, 1124 Sierra Alta Way, Los Angeles, CA,90069, Call, Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18313162; Swimming Pool; Washer; Year Built: 1936; Spa,Low, 310-990-6656, https://hotpads.com/1124-sierra-alta-way-west-hollywood-ca-90069-ty6p2c/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
2875,3527 Siskiyou Street, 3527 Siskiyou Street, Los Angeles, CA,90023,2595, Air Conditioning; Cats Allowed; Dogs Allowed; Garage; Garbage Disposal; Laundry: Hookups; Parking -; Patio Balcony; Small Dogs Allowed; Unfurnished -; Washer; Washer/Dryer Hookups,High, 877-736-8776, https://hotpads.com/3527-siskiyou-street-los-angeles-ca-90023-1m2khmq/pad,67, $2695, 844-633-2318, https://www.apartments.com/3527-siskiyou-st-los-angeles-ca/rq4szg3/,45903.0,10877.4881517,386600337.0,8422.1148291,11259.0
