apt,street,city,state,zipcode,min price,amenities,recent viewed,contact number,url
N Serrano Ave Unit 1 Los Angeles Ca 90027, N Serrano Ave Unit 1 Los Angeles Ca 90027, Los Angeles, CA,90027,1595, ,43, hotpads, https://hotpads.com/1376-n-serrano-ave-los-angeles-ca-90027-sm0dz8/pad
513 Beirut Avenue, 513 Beirut Avenue, Pacific Palisades, CA,90272, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Dryer; Elevator; Fireplace; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18314374; Refrigerator; Washer; Year Built: 1987,42, 310-459-5886, https://hotpads.com/513-beirut-ave-pacific-palisades-ca-90272-1m2xapt/pad
134 N Clark Drive, 134 N Clark Drive, West Hollywood, CA,90048,2595, ,67, hotpads, https://hotpads.com/134-n-clark-dr-los-angeles-ca-90048-1n1yxda/pad
Franklin Plaza, 7230 Franklin Avenue, Los Angeles, CA,90046,2395, Air Conditioning; BBQ/Picnic Area; Business Center; Club House; Courtyard; Detached Garage; Dishwasher; Dryer; Efficient Appliances; Elevator; Fitness Center; Flooring: Hardwood; Free Weights; Garbage Disposal; Laundry: In Unit; Laundry: Shared; Microwave Oven; Off Street Parking; On-Site Management; Patio Balcony; Recycling; Refrigerator; Security: Gated Entry; Spa; Sundeck; Swimming Pool; Washer; Washer/Dryer Hookups,85, 1-323-524-2851, https://hotpads.com/franklin-plaza-los-angeles-ca-90046-skf80c/pad
Coldwater Canyon Avenue, Coldwater Canyon Avenue, Studio City, CA,91604, Call, Air Conditioning; Cable included in rent; Disabled Access; Dryer; Flooring: Hardwood; Furnished; Garage; Internet included in rent; Laundry: In Unit; Patio Balcony; Washer,154, hotpads, https://hotpads.com/4466-coldwater-canyon-ave-studio-city-ca-91604-svtb2g/pad
Coronado Terrace, Coronado Terrace, Los Angeles, CA,90026, Call, Air Conditioning; Barbecue; Basic utilities + Wifi included for short term rate; Cable TV Ready; Cats Allowed; Deck; Dryer; Fenced Yard; Flooring: Hardwood; Flooring: Tile; Freezer; Furnished; Garden; Gas included in rent; High-speed Internet Ready; Internet included in rent; Large Dogs Allowed; Laundry: In Unit; Lawn; Master bath; Microwave Oven; Near Transportation; Refrigerator; Secured entry; Security: Gated Entry; Small Dogs Allowed; Sprinkler System; Street Parking; Utilities fee required; Vintage; Washer; Water included in rent; Yard; Year Built: 1923; Porch; Range/Oven,81, hotpads, https://hotpads.com/1146-coronado-ter-los-angeles-ca-90026-1q4gkmy/pad
4528 1/8 Edgewood Place, 4528 1/8 Edgewood Place, Los Angeles, CA,90019,2395, Cats Allowed; Dogs Allowed; Small Dogs Allowed,67, 310-478-7600, https://hotpads.com/2-bed-1000-sqft-2395-los-angeles-ca-90019-1q3my6n/pad
11176 Huston Street, 11176 Huston Street, North Hollywood, CA,91601, Call, Air Conditioning; Furnished; Garage; Laundry: Shared; Patio Balcony,196, 216-832-0628, https://hotpads.com/11176-huston-st-north-hollywood-ca-91601-stumx7/pad
11732 Oxnard Street, 11732 Oxnard Street, North Hollywood, CA,91606, Call, ,73, 888-711-5424, https://hotpads.com/11732-oxnard-st-north-hollywood-ca-91606-tn1179/pad
211 S Hoover Street, 211 S Hoover Street, Los Angeles, CA,90012, Call, Air Conditioning; Central AC/Heat; Dryer; Flooring: Hardwood; Garbage included in rent; Gated Complex; Large Dogs Allowed; Laundry: In Unit; New Building; Off Street Parking; Patio Balcony; Pet Friendly; Small Dogs Allowed; Stove/Refrigerator/Dishwasher/Microwave Included; Two Parking Spaces; Two Stories; Washer,19, 626-497-4000, https://hotpads.com/211-s-hoover-st-los-angeles-ca-90004-tzp7df/pad
727 Wilcox Avenue, 727 Wilcox Avenue, Los Angeles City, CA,90038,4195, ,6, hotpads, https://hotpads.com/727-wilcox-ave-los-angeles-ca-90038-u289q5/pad
2813 Ellendale Place, 2813 Ellendale Place, Los Angeles, CA,90007, Call, Air Conditioning; Cable TV Ready; Carport; Dryer; Flooring: Hardwood; Garbage Disposal; Laundry: In Unit; Near Transportation; Off Street Parking; Parking Spaces: 1; Refrigerator; Secured entry; Security: Gated Entry; Swimming Pool; Washer; Range/Oven; Vaulted Ceiling,10, 310-776-5701, https://hotpads.com/2813-ellendale-pl-los-angeles-ca-90007-snr29u/pad
Berkshire K2LA, 685 S New Hampshire Avenue, Los Angeles, CA,90005,1809, 9' Ceilings in Select Apartments; Air Conditioning; Bicycle Storage; Business Center; Cable TV Ready; Club House; Detached Garage; Dryer; Electronic Keyless Entrance to Apartments; Elevator; Fitness Center; Floor-to-Ceiling Windows in Select Apartments; Flooring: Wood; Garage; Gracious 8' Entry Door; High Ceilings; High Efficiency Dual Paned Windows & Doors; Laundry: In Unit; Microwave Oven; On-Site Maintenance; Package Service; Refrigerator; Rooftop Deck; Security: Gated Entry; Spectacular Views in Select Apartments; Swimming Pool; Walk-in Close with Organizer System; Washer; Window Coverings,67, 1-213-996-0964, https://hotpads.com/berkshire-k2la-los-angeles-ca-90005-w3wfc5/pad
327 N Stanley, 327 N Stanley, Los Angeles, CA,90036,2895, Cats Allowed; Dogs Allowed; Large Dogs Allowed; Small Dogs Allowed,38, 310-400-6148, https://hotpads.com/2-bed-15-bath-1250-sqft-2895-los-angeles-ca-90036-tds423/pad
2007 Coldwater Canyon Drive, 2007 Coldwater Canyon Drive, Beverly Hills, CA,90210, Call, Covered Parking Spaces: 4; MLS Listing ID: 17-280752; Year Built: 1954,23, 310-271-2229, https://hotpads.com/2007-coldwater-canyon-dr-beverly-hills-ca-90210-1m2tr6n/pad
11640 Gorham Avenue, 11640 Gorham Avenue, Brentwood, CA,90049,2595, Air Conditioning; Dishwasher; Flooring: Hardwood; Flooring: Laminate; Laundry: Shared; One Year Lease; Oven; Security: Controlled Access; Security: Intercom,53, 310-405-4669, https://hotpads.com/beautiful-newly-renovated-unit-los-angeles-ca-90049-skt9py/pad
225 Sherman Canal, 225 Sherman Canal, Venice, CA,90291, Call, Architecture Style: Modern; Attached Garage; Cable TV Ready; Ceiling Fan; Fireplace; Flooring: Carpet; Flooring: Hardwood; Furnished; Heating system: Central; MLS Listing ID: 15900465; Patio Balcony; Washer; Year Built: 1987,11, 949-500-9045, https://hotpads.com/225-sherman-canal-venice-ca-90291-u782xj/pad
1841 Curson Avenue, 1841 Curson Avenue, Los Angeles, CA,90019,1795, ,27, hotpads, https://hotpads.com/1841-s-curson-ave-los-angeles-ca-90019-1n1vfvf/pad
942 N Crescent Heights Boulevard, 942 N Crescent Heights Boulevard, Los Angeles, CA,90046, Call, Architecture Style: Modern; Cable TV Ready; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Furnished; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17297660; Microwave Oven; Refrigerator; Swimming Pool; Trash Compactor; Washer; Year Built: 1923; Concierge,10, 310-928-0938, https://hotpads.com/942-n-crescent-heights-blvd-los-angeles-ca-90046-1n1yh86/pad
Cape Brentwood, 11633 Gorham Avenue, Los Angeles, CA,90049,2295, Air Conditioning; Beautiful Landscaping; Ceiling Fan; Courtyard; Dishwasher; Fitness Center; Gated Parking; Granite/Marble Countertops*; High Ceilings*; Laundry: Shared; Marble Lobby; Off Street Parking; On-Site Management; Patio Balcony; Security: Gated Entry; Separate Showers and Bathtubs*; Some Utilities Included*; Spacious Closets*; Swimming Pool,68, 1-424-324-3382, https://hotpads.com/cape-brentwood-los-angeles-ca-90049-1m2r2xj/pad
4452 Matilija Avenue, 4452 Matilija Avenue, Sherman Oaks, CA,91423, Call, Attached Garage; Condo Floor Number: 1; Covered Parking Spaces: 4; Fireplace; Flooring: Hardwood; Heating system: Central Furnace; MLS Listing ID: SR18020045; Roof Type: Asphalt; School District: Los Angeles Unified; View Type: None; Year Built: 1952; Range/Oven,29, 818-640-9472, https://hotpads.com/4452-matilija-ave-sherman-oaks-ca-91423-1m3vbzr/pad
1871 Mount Olympus Drive, 1871 Mount Olympus Drive, Los Angeles, CA,90046, Call, Architecture Style: Contemporary; Basketball Court; Cable TV Ready; Carport; Ceiling Fan; Dryer; Elevator; Fireplace; Flooring: Hardwood; Flooring: Marble; Freezer; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17286038; Microwave Oven; Security: Intercom; Swimming Pool; View Type: Mountain View; Washer; Year Built: 1979,10, 310-613-0134, https://hotpads.com/1871-mount-olympus-dr-los-angeles-ca-90046-skx23b/pad
445 W Florence Avenue, 445 W Florence Avenue, Los Angeles, CA,90003,1095, Flooring: Laminate; new bathroom cabinet; new bedroom door; new bedroom window; new blinds and screen; new closet doors; new door knobs; new flooring in bathroom; new kitchen faucet; new kitchen flooring; new kitchen hardware; new light fixtures; new switches and outlets; new toilet,51, 310-571-3672, https://hotpads.com/1-bed-358-sqft-1095-los-angeles-ca-90003-1n1t9rs/pad
6242 1/2 Shoup Avenue, 6242 1/2 Shoup Avenue, Woodland Hills, CA,91367, Call, Air Conditioning; Dryer; Flooring: Hardwood; Garage; Garbage included in rent; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer; Water included in rent,14, 323-229-4088, https://hotpads.com/6242-12-shoup-ave-woodland-hills-ca-91367-w3xfwp/pad
12556 Everglade Street, 12556 Everglade Street, Los Angeles, CA,90066, Call, Garage; Range; Refrigerator; Washer,32, 310-570-0093, https://hotpads.com/12556-everglade-st-los-angeles-ca-90066-1m2sdwq/pad
12211 Dunoon Lane, 12211 Dunoon Lane, Los Angeles, CA,90049, Call, Barbecue; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Heating system: Central; MLS Listing ID: 18313038; Microwave Oven; Patio Balcony; Refrigerator; Security: Controlled Access; Washer; Year Built: 1940,23, 310-496-5942, https://hotpads.com/12211-dunoon-ln-los-angeles-ca-90049-w3unsa/pad
3723 Wall Street, 3723 Wall Street, Los Angeles, CA,90011, Call, Covered Parking Spaces: 2; Dryer; Flooring: Laminate; Flooring: Tile; Garbage Disposal; Heating: Gas; Laundry: In Unit; MLS Listing ID: 18309984; Other Cooling; Refrigerator; Washer; Year Built: 1921,18, 213-434-2433, https://hotpads.com/3723-wall-st-los-angeles-ca-90011-1m2ja4f/pad
Sofi Topanga, 9733 Topanga Canyon Boulevard, Chatsworth, CA,91311,2225, 24 Hour Maintenance; Attached Garage; Barbecue; Bicycle Storage; Cats Allowed; Club House; Deck; Dishwasher; Dryer; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Hardwood; Freezer; High-speed Internet Ready; Hot Tub; Large Dogs Allowed; Laundry: In Unit; Microwave Oven; On-Site Management; One Year Lease; Oven; Parking Lot; Patio; Patio Balcony; Range; Refrigerator; Security: Controlled Access; Six Month Lease; Small Dogs Allowed; Stories: 4; Swimming Pool; Trail; Washer; Year Built: 2009,22, 1-818-485-4378, https://hotpads.com/sofi-topanga-chatsworth-ca-91311-skhat0/pad
1180 S Highland Avenue, 1180 S Highland Avenue, Los Angeles, CA,90019, Call, MLS Listing ID: 18-308542; Year Built: 1954,16, 323-251-1481, https://hotpads.com/1180-s-highland-ave-los-angeles-ca-90019-1n1vb9z/pad
1638 S Longwood Avenue, 1638 S Longwood Avenue, Los Angeles, CA,90019, Call, ,103, 323-754-2818, https://hotpads.com/1638-s-longwood-ave-los-angeles-ca-90019-1n1ves7/pad
Franklin Los Feliz Towers, 1800 Winona Boulevard, Los Angeles, CA,90027,2150, Air Conditioning; Beautiful Landscaping; Cats Allowed; Ceiling Fan; Courtyard; Dishwasher; Dogs Allowed; Elevator; Gated Parking; Laundry: Shared; Marble Lobby; Microwave Oven; Off Street Parking; On-Site Management; Patio Balcony; Remodeled*; Security Cameras; Security: Gated Entry; Small Dogs Allowed; Some Utilities Included*; Swimming Pool,87, 1-323-688-6024, https://hotpads.com/franklin-los-feliz-towers-los-angeles-ca-90027-skjgk1/pad
1279 -1283 W 37th Place, 1279 -1283 W 37th Place, Los Angeles, CA,90007,3600, Dryer; Laundry: In Unit; Microwave Oven; Refrigerator; Washer; granite countertops; stove oven,7, 949-916-2300, https://hotpads.com/1279-1283-w-37th-pl-los-angeles-ca-90007-1pj61k6/pad
5425 Lockhurst Drive, 5425 Lockhurst Drive, Woodland Hills, CA,91367, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Furnished; Garage; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,16, 818-536-3120, https://hotpads.com/5425-lockhurst-dr-woodland-hills-ca-91367-1m3shr5/pad
La Calandria Drive, La Calandria Drive, Los Angeles, CA,90032, Call, Electricity included in rent; Flooring: Hardwood; Garbage included in rent; Gas included in rent; Internet included in rent; Laundry: none; No Smokers; Patio Balcony; Utilities included in rent; Water included in rent,42, hotpads, https://hotpads.com/5002-la-calandria-dr-los-angeles-ca-90032-sz13nx/pad
22399 Lavender Bell Lane #LB99, 22399 Lavender Bell Lane #LB99, Woodland Hills, CA,19367, Call, Air Conditioning; Basketball Court; Business Center; Cable not included in rent; Cats Allowed; Club House; Dryer; Electricity not included in rent; Fitness Center; Garage; Gas Grills Allowed; Gas not included in rent; Internet not included in rent; Large Dogs Allowed; Laundry: In Unit; Near Shopping Dining and Theatre; Near Transportation; On-Site Alternations; On-Site Dry Cleaner; On-line Payment; On-line payments; Patio Balcony; Pets Welcome; Putting Green and Par Course; Security: Gated Entry; Short Term Lease; Small Dogs Allowed; Swimming Pool; Tennis Court; Vaulted Ceilings; Volleyball Court; Washer,20, 818-787-1777, https://hotpads.com/lb99/pad
Chateau Alto Nido, 1851 N Ivar Rd, Los Angeles, CA,90028,1700, 24 Hour Maintenance; All Paid Utilities; Availability 24 Hours; Cats Allowed; Ceiling Fan; Center Of Hollywood-Near Hollywood & Vine; Easy Access To Freeways; Easy Access To Shopping; Elevator; Flexible Lease; Flooring: Hardwood; Freezer; Garbage included in rent; Historic Building; Historical Building; Laundry: Shared; Less Than One Year Lease; On-Site Maintenance; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Parking included for up to 1 car; Range; Recycling; Refrigerator; Security: Controlled Access; Security: Gated Entry; Sewage included in rent; Short Term Lease; Six Month Lease; Small Dogs Allowed; Spectacular Views Available; Storage Space; Stories: 4; Stove; View Type: City; Water included in rent; Year Built: 1930; Clean And Peaceful; Spacious Walk-In Closet(S),99, 1-323-982-7954, https://hotpads.com/chateau-alto-nido-los-angeles-ca-90028-ttut00/pad
Hillside Terrace, 7245 Hillside Avenue, Los Angeles, CA,90046,2075, Air Conditioning; All new appliances; Cable TV Ready; Cats Allowed; Deck; Dishwasher; Elevator; Fireplace; Flooring: Carpet; Flooring: Laminate; Flooring: Linoleum; Flooring: Vinyl; Garage; Garbage Disposal; Garbage included in rent; Heating: Gas; High-speed Internet Ready; Hot water included in rent; Laundry: Shared; Microwave Oven; On-Site Management; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Patio; Patio Balcony; Range; Refrigerator; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Small Dogs Allowed; Stories: 4; Swimming Pool; View Type: City; View Type: Park; Water included in rent; Year Remodeled: 2016,249, 1-323-524-2045, https://hotpads.com/hillside-terrace-los-angeles-ca-90046-skjgp1/pad
5816 Norwich Avenue, 5816 Norwich Avenue, Van Nuys, CA,91411, Call, Air Conditioning; Cats Allowed; Ceiling Fan; Dogs Allowed; Fireplace; Garage; Large Dogs Allowed; Oven; Range; Small Dogs Allowed; Yard -; granite countertops; great location; great schools; laminate wood floring; upgraded bathrooms; upgraded kitchen,70, 818-999-2101, https://hotpads.com/5816-norwich-ave-van-nuys-ca-91411-1m3v41m/pad
333 N Sierra Bonita Avenue, 333 N Sierra Bonita Avenue, Wilshire La Brea, CA,90036, Call, Cats Allowed; Detached Garage; Fireplace; Flooring: Hardwood; Flooring: Tile; Garbage Disposal; Garbage included in rent; Heating system: Heat: forced air; Refrigerator; Small Dogs Allowed; Storage Space; Street Parking; Washer; Water included in rent; Granite countertop; Range/Oven; Stainless steel appliances,31, 818-292-6371, https://hotpads.com/333-n-sierra-bonita-ave-los-angeles-ca-90036-1n1x116/pad
17828 Margate Street, 17828 Margate Street, Encino, CA,91316, Call, ,41, 818-222-2816, https://hotpads.com/17828-margate-st-encino-ca-91316-snra5t/pad
2310 Amherst Avenue, 2310 Amherst Avenue, Los Angeles, CA,90064, Call, Air Conditioning; Cats Allowed; Dryer; Laundry: In Unit; Patio Balcony; Refrigerator; Small Dogs Allowed; Stove oven; Washer; a/c and heat,169, 310-666-1772, https://hotpads.com/2310-amherst-ave-los-angeles-ca-90064-1u0qp3b/pad
169 W Channel Road, 169 W Channel Road, Santa Monica, CA,90402, Call, Carport; Covered Parking Spaces: 1; Dryer; Flooring: Carpet; Flooring: Hardwood; Furnished; Heating system: Forced Air; Laundry: In Unit; MLS Listing ID: 18314492; No Air Conditioning; Washer,30, 310-230-0195, https://hotpads.com/169-w-channel-rd-santa-monica-ca-90402-skpj6f/pad
18855 Vanowen Street, 18855 Vanowen Street, Reseda, CA,91335,1395, Air Conditioning; Cable TV Ready; Carpeting; Courtyard; Dish Allowed; Flooring: Hardwood; Garbage Disposal; Granite Counters; Large Closets; Laundry: Shared; On-Site Maintenance; Parking Lot; Patio Balcony; Pictures may not be of exact apartment home; Security: Gated Entry; Stainless Steel Stove; Swimming Pool; Window Coverings,40, 818-343-0822, https://hotpads.com/windsor-arms-reseda-ca-91335-swwbt0/pad
9754 Swinton Avenue, 9754 Swinton Avenue, North Hills, CA,91343, Call, Air Conditioning; Cats Allowed; Dishwasher; Fireplace; Flooring: Hardwood; Garage; Large Dogs Allowed; Patio Balcony; Pet Friendly; Refrigerator; Security: Gated Entry; Small Dogs Allowed; Sundeck; Washer/Dryer Hookups; Year Built: 1962; Courtyard; Large Closets,31, 818-321-5435, https://hotpads.com/9754-swinton-ave-north-hills-ca-91343-u2x5e7/pad
4520 Tyrone Avenue, 4520 Tyrone Avenue, Sherman Oaks, CA,91423, Call, Attached Garage; Cable TV Ready; Ceiling Fan; Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 17291026; Microwave Oven; Refrigerator; Swimming Pool; Washer; Year Built: 2006,10, 323-397-0800, https://hotpads.com/4520-tyrone-ave-sherman-oaks-ca-91423-1m3vcg0/pad
8160 Manitoba Street, 8160 Manitoba Street, Playa Del Rey, CA,90293, Call, 2 car tandem parking; Attached Garage; Ceiling Fan; Club House; Condo Floor Number: 3; Detached Garage; Dryer; Electricity not included in rent; Elevator; Fireplace; Fitness Center; Flooring: Hardwood; Flooring: Tile; Garage; Gas not included in rent; Heating system: Heat: forced air; Laundry: In Unit; Microwave Oven; Parking Spaces: 2; Patio Balcony; Refrigerator; Security: Gated Entry; Storage Space; Street Parking; Swimming Pool; Tennis Court; Washer; Water included in rent; Year Built: 1979,11, 951-233-3027, https://hotpads.com/8160-manitoba-st-playa-del-rey-ca-90293-skqj6m/pad
3320 Stoner Avenue, 3320 Stoner Avenue, Los Angeles, CA,90066, Call, Attached Garage; Cable TV Ready; Carport; Cats Allowed; Detached Garage; Flooring: Hardwood; Flooring: Tile; Garage; Garbage Disposal; Garden; Heating system: Heat: forced air; Laundry: none; Lawn; Near Transportation; Parking Spaces: 1; Patio Balcony; Small Dogs Allowed; Sprinkler System; Storage Space; Washer; Yard; Year Built: 1947; Double Pane Windows; Range/Oven,38, 310-467-9644, https://hotpads.com/3320-stoner-ave-los-angeles-ca-90066-snrg97/pad
10403 Moorpark Street, 10403 Moorpark Street, Toluca Lake, CA,91602, Call, Covered Parking Spaces: 1; Dryer; Fireplace; Flooring: Hardwood; Flooring: Other; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; Lawn; MLS Listing ID: 18314356; Patio Balcony; Washer; Year Built: 1940,47, 310-796-6622, https://hotpads.com/10403-moorpark-st-north-hollywood-ca-91602-u32bpb/pad
NOHO 55 Apartments, 5555 Bonner Avenue, North Hollywood, CA,91601,2150, 24 Hour Maintenance; Air Conditioning; Barbecue; Bicycle Storage; Building-wide Wireless; Cats Allowed; Deck; Disabled Access; Dishwasher; Dryer; Elevator; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Flooring: Vinyl; Freezer; Garage; Garbage Disposal; Garden; Heating: Gas; Large Dogs Allowed; Laundry: In Unit; Lounge; Microwave Oven; On-Site Management; One Year Lease; Online Maintenance Portal; Oven; Patio Balcony; Range; Refrigerator; Rooftop Deck; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Small Dogs Allowed; View Type: Mountain; Washer; Water Feature,144, 1-818-593-0816, https://hotpads.com/noho-55-apartments-north-hollywood-ca-91601-1m3vz8h/pad
8828 Thrasher Avenue, 8828 Thrasher Avenue, Los Angeles, CA,90069, Call, MLS Listing ID: 18-311630,8, 310-775-3582, https://hotpads.com/8828-thrasher-ave-west-hollywood-ca-90069-sq5bj9/pad
9821 Beeson Drive, 9821 Beeson Drive, Beverly Hills, CA,90210, Call, Attached Garage; Cable TV Ready; Dryer; Fireplace; Flooring: Hardwood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18324150; Microwave Oven; Refrigerator; Security: Controlled Access; Security: Intercom; Swimming Pool; Washer; Year Built: 2008; Spa,4, 323-469-1633, https://hotpads.com/9821-beeson-dr-beverly-hills-ca-90210-1m2tu0t/pad
7513 Fountain Avenue, 7513 Fountain Avenue, West Hollywood, CA,90046,2150, ,81, hotpads, https://hotpads.com/7513-fountain-ave-los-angeles-ca-90046-tp74ek/pad
621 Lillian Way, 621 Lillian Way, Los Angeles, CA,90004, Call, Ceiling Fan; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18316270; Patio Balcony; Refrigerator; Washer; Year Built: 1923,16, 434-466-5722, https://hotpads.com/621-lillian-way-los-angeles-ca-90004-t5ttrr/pad
2213 Hyperion Avenue, 2213 Hyperion Avenue, Los Angeles City, CA,90027, Call, Garbage Disposal; MLS Listing ID: 317007063; Washer; Year Built: 1925,99, 818-618-2882, https://hotpads.com/2213-hyperion-ave-los-angeles-ca-90027-1ttareb/pad
15332 Weddington Street, 15332 Weddington Street, Sherman Oaks, CA,91411, Call, Air Conditioning; Cats Allowed; Electricity not included in rent; Flooring: Hardwood; Garage; Garbage not included in rent; Gas not included in rent; Laundry: Shared; Security: Gated Entry; Small Dogs Allowed; Water not included in rent,90, 818-399-9355, https://hotpads.com/15332-weddington-st-van-nuys-ca-91411-sqg1fd/pad
1171 W 9th Street, 1171 W 9th Street, San Pedro, CA,90731,1700, ,67, hotpads, https://hotpads.com/1171-w-9th-st-san-pedro-ca-90731-t5ab05/pad
1716 S Genesee Avenue, 1716 S Genesee Avenue, Los Angeles, CA,90019, Call, Architecture Style: Bungalow; Covered Parking Spaces: 1; Exterior Type: Stucco; Flooring: Hardwood; Garbage Disposal; Heating system: Central; MLS Listing ID: 18301908; Microwave Oven; Refrigerator; Sprinkler System; View Type: City View; Washer; Year Built: 1925,43, 310-908-0265, https://hotpads.com/1716-s-genesee-ave-los-angeles-ca-90019-1n1vf37/pad
3906 Westfall Drive, 3906 Westfall Drive, Encino, CA,91436, Call, MLS Listing ID: SR17277049; Swimming Pool; View Type: City View; View Type: Mountain View; Year Built: 1963,11, 818-657-6500, https://hotpads.com/3906-westfall-dr-encino-ca-91436-1m3vhtc/pad
839 S Wilton Place, 839 S Wilton Place, Los Angeles, CA,90005,1195, ,105, 323-654-8560, https://hotpads.com/studio-1195-los-angeles-ca-90005-1n1tp81/pad
Nordhoff Street, Nordhoff Street, Northridge, CA,91326, Call, Air Conditioning; Dryer; Flooring: Hardwood; Garage; Laundry: In Unit; Off Street Parking; Shaded parking; Washer,4, 818-442-1862, https://hotpads.com/18632-nordhoff-st-northridge-ca-91324-tzdc40/pad
6174 Mulholland Highway, 6174 Mulholland Highway, Los Angeles, CA,90068, Call, Covered Parking Spaces: 1; Dryer; Flooring: Stone; Flooring: Tile; Furnished; Heating system: Forced Air; Laundry: In Unit; MLS Listing ID: 17286034; View Type: City View; Washer; Year Built: 1961,9, 323-513-7189, https://hotpads.com/6174-mulholland-hwy-los-angeles-ca-90068-su6xrq/pad
11281 Peach Grove, 11281 Peach Grove, North Hollywood, CA,91601,2500, Air Conditioning*; Balcony*; Cable-ready*; Dishwasher*; Disposal*; Fireplace*,18, 818-334-5472, https://hotpads.com/2-bed-15-bath-1150-sqft-2500-north-hollywood-ca-91601-1m3vuma/pad
Totana Drive, Totana Drive, Tarzana, CA,91356, Call, Air Conditioning; Cable TV Ready; Cable included in rent; Dryer; Fenced Yard; Fireplace; Flooring: Tile; Furnished; Garbage Disposal; Heating system: Heat: forced air; High-speed Internet Ready; Laundry: In Unit; Lawn; Microwave Oven; Off Street Parking; Refrigerator; Street Parking; Washer; Yard; Year Built: 1968; Range/Oven; Vaulted Ceiling,82, 562-225-3617, https://hotpads.com/4448-totana-dr-tarzana-ca-91356-u5yqbz/pad
5465 Hillcrest Drive, 5465 Hillcrest Drive, Los Angeles, CA,90043, Call, Air Conditioning; Attached Garage; Cable TV Ready; Cats Allowed; Detached Garage; Dryer; Fenced Yard; Fireplace; Flooring: Hardwood; Garage; Heating system: Heat: forced air; Laundry: In Unit; Lawn; No Utilities included in rent; Off Street Parking; Parking Spaces: 4; Refrigerator; Washer; Year Built: 1922; Range/Oven; Stainless steel appliances,75, 323-445-3960, https://hotpads.com/5465-hillcrest-dr-los-angeles-ca-90043-1m2q881/pad
15159 Camarillo Street, 15159 Camarillo Street, Sherman Oaks, CA,91403, Call, Architecture Style: Cape Cod; Attached Garage; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Flooring: Slate; Furnished; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18309924; Microwave Oven; Refrigerator; Swimming Pool; View Type: Mountain View; Washer; Year Built: 2016,14, 310-721-7773, https://hotpads.com/15159-camarillo-st-sherman-oaks-ca-91403-1m3u8cs/pad
143 S Lucerne, 143 S Lucerne, Los Angeles, CA,90004, Call, Architecture Style: Bungalow; Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Garbage Disposal; Heating system: Central; MLS Listing ID: 18318568; Washer; Year Built: 1920,27, 818-288-1071, https://hotpads.com/143-s-lucerne-blvd-los-angeles-ca-90004-1n1tdjz/pad
2335 Moreno Drive, 2335 Moreno Drive, Los Angeles, CA,90039, Call, Air Conditioning; Attached Garage; Dryer; Flooring: Hardwood; Flooring: Tile; Garden; Heating system: Heat: forced air; Laundry: In Unit; Lawn; Master bath; Off Street Parking; Parking Spaces: 2; Patio Balcony; Refrigerator; Small Dogs Allowed; Washer; Year Built: 1928; Alarm; Granite countertop,33, 323-665-5896, https://hotpads.com/2335-moreno-dr-los-angeles-ca-90039-sus9g5/pad
1062 W 60th Place, 1062 W 60th Place, Los Angeles, CA,90044, Call, Cats Allowed; Dogs Allowed; Small Dogs Allowed,85, 213-598-8528, https://hotpads.com/1062-w-60th-pl-los-angeles-ca-90044-1txdamw/pad
1819 N Berendo Street, 1819 N Berendo Street, Los Angeles, CA,90027, Call, Air Conditioning; Cats Allowed; Flooring: Hardwood; Off Street Parking; Small Dogs Allowed,84, hotpads, https://hotpads.com/1819-n-berendo-st-los-angeles-ca-90027-1tyscra/pad
1143 W 77th Street, 1143 W 77th Street, Los Angeles, CA,90044, Call, ,66, 855-721-7368, https://hotpads.com/1143-w-77th-st-los-angeles-ca-90044-w3xxrq/pad
