id, apt, street, city, state, zipcode, soundscore, rent, tele, url
293, 9035 Wonderland Park Ave, 9035 Wonderland Park Ave, Los Angeles, CA, 90046, 83, $11500, 844-809-5277, https://www.apartments.com/9035-wonderland-park-ave-los-angeles-ca/cch77de/
294, 426 S Norton Ave, 426 S Norton Ave, Los Angeles, CA, 90020, 71, $2599, 424-236-6077, https://www.apartments.com/426-s-norton-ave-los-angeles-ca/hmbjg63/
295, 426 S Norton Ave, 426 S Norton Ave, Los Angeles, CA, 90020, 71, $1975, 844-670-3022, https://www.apartments.com/426-s-norton-ave-los-angeles-ca/j78xde6/
296, 418 S Normandie Ave, 418 S Normandie Ave, Los Angeles, CA, 90020, 67, $1299, 310-573-8485, https://www.apartments.com/418-s-normandie-ave-los-angeles-ca/cnqxgzf/
297, 1489 S Canfield Ave Unit 301, 1489 S Canfield Ave Unit 301, Los Angeles, CA, 90035, 72, $3495, 323-515-0039, https://www.apartments.com/1489-s-canfield-ave-los-angeles-ca-unit-301/9m37xt5/
298, 2623 S Beverly Dr, 2623 S Beverly Dr, Los Angeles, CA, 90034, 74, $6789, 424-268-9908, https://www.apartments.com/2623-s-beverly-dr-los-angeles-ca/h7x41v3/
299, 10730 Esther Ave, 10730 Esther Ave, Los Angeles, CA, 90064, 70, $3900, 310-817-6219, https://www.apartments.com/10730-esther-ave-los-angeles-ca/g17gkjw/
300, 1948 Stearns Dr, 1948 Stearns Dr, Los Angeles, CA, 90034, 69, $1300, 310-819-4956, https://www.apartments.com/1948-stearns-dr-los-angeles-ca/hgn5ef1/
301, 6619 Cahuenga Terrace, 6619 Cahuenga Terrace, Los Angeles, CA, 90068, 67, $2100, 310-819-4401, https://www.apartments.com/6619-cahuenga-terrace-los-angeles-ca/cjhxqnd/
302, 1801 S Bentley Ave Unit 301, 1801 S Bentley Ave Unit 301, Los Angeles, CA, 90025, 64, $3300, 323-471-3268, https://www.apartments.com/1801-s-bentley-ave-los-angeles-ca-unit-301/xzlt2fq/
303, 1265 Sunset Plaza Dr, 1265 Sunset Plaza Dr, Los Angeles, CA, 90069, 73, $7650, 951-523-7104, https://www.apartments.com/1265-sunset-plaza-dr-los-angeles-ca/2sq4dhb/
304, 8451 Grand View Dr, 8451 Grand View Dr, Los Angeles, CA, 90046, 76, $5950, 818-918-6702, https://www.apartments.com/8451-grand-view-dr-los-angeles-ca/dndr99l/
305, 2746 Thurman Ave, 2746 Thurman Ave, Los Angeles, CA, 90016, 71, $3100, 424-442-1762, https://www.apartments.com/2746-thurman-ave-los-angeles-ca/rjjnzw1/
306, 4015 Stansbury Ave, 4015 Stansbury Ave, Los Angeles, CA, 91423, 75, $17000, 844-310-8248, https://www.apartments.com/4015-stansbury-ave-los-angeles-ca/qqdxb4w/
307, 1609 Beloit Ave Unit 29, 1609 Beloit Ave Unit 29, Los Angeles, CA, 90025, 57, $800, 424-610-4628, https://www.apartments.com/1609-beloit-ave-los-angeles-ca-unit-29/f8ztt0r/
308, 550 Vernon Ave, 550 Vernon Ave, Venice, CA, 90291, 71, $7900, 844-778-9792, https://www.apartments.com/550-vernon-ave-venice-ca/42t8hjh/
309, 2746 Selby Ave, 2746 Selby Ave, Los Angeles, CA, 90064, 67, $4800, 844-881-0722, https://www.apartments.com/2746-selby-ave-los-angeles-ca/hjb7rf0/
310, 4280 Denker Ave, 4280 Denker Ave, Los Angeles, CA, 90062, 73, $2695, 310-819-4720, https://www.apartments.com/4280-denker-ave-los-angeles-ca/y4evjpt/
311, 5419 9th Ave, 5419 9th Ave, Los Angeles, CA, 90043, 71, $3295, 213-985-7097, https://www.apartments.com/5419-9th-ave-los-angeles-ca/n7039sq/
312, 1537 S Westgate Ave, 1537 S Westgate Ave, Los Angeles, CA, 90025, 69, $4295, 844-729-1716, https://www.apartments.com/1537-s-westgate-ave-los-angeles-ca/52lyj5q/
313, 545 S Hobart Blvd, 545 S Hobart Blvd, Los Angeles, CA, 90020, 64, $1350, 844-806-0625, https://www.apartments.com/545-s-hobart-blvd-los-angeles-ca/rl4qkh2/
314, 1197 McClellan Dr, 1197 McClellan Dr, Los Angeles, CA, 90049, 69, $3800, 844-279-4284, https://www.apartments.com/1197-mcclellan-dr-los-angeles-ca/glb29dy/
315, 2810 Burkshire Ave, 2810 Burkshire Ave, Los Angeles, CA, 90064, 66, $6000, 818-477-3101, https://www.apartments.com/2810-burkshire-ave-los-angeles-ca/6sct81s/
316, 3039 Buckingham Rd, 3039 Buckingham Rd, Los Angeles, CA, 90016, 70, $2200, 844-424-2151, https://www.apartments.com/3039-buckingham-rd-los-angeles-ca/rzvjke1/
317, 15543 Del Gado Dr, 15543 Del Gado Dr, Sherman Oaks, CA, 91403, 67, $4999, 844-647-8425, https://www.apartments.com/15543-del-gado-dr-sherman-oaks-ca/40l2xbk/
318, 200 S Sycamore Ave, 200 S Sycamore Ave, Los Angeles, CA, 90036, 70, $1995, 877-333-8151, https://www.apartments.com/200-s-sycamore-ave-los-angeles-ca/ns3whvp/
319, 938 N Edgemont St Unit 938, 938 N Edgemont St Unit 938, Los Angeles, CA, 90029, 68, $650, 844-413-0917, https://www.apartments.com/938-n-edgemont-st-los-angeles-ca-unit-938/l2vvtpe/
320, 1506 W 45th St, 1506 W 45th St, Los Angeles, CA, 90062, 71, $4700, 424-331-1553, https://www.apartments.com/1506-w-45th-st-los-angeles-ca/0hdhrl1/
321, 2309 Hauser Blvd Unit 2, 2309 Hauser Blvd Unit 2, Los Angeles, CA, 90016, 66, $2995, 844-712-9003, https://www.apartments.com/2309-hauser-blvd-los-angeles-ca-unit-2/cmz0rbf/
322, 1061 N Kenter Ave, 1061 N Kenter Ave, Los Angeles, CA, 90049, 80, $8950, 844-680-6138, https://www.apartments.com/1061-n-kenter-ave-los-angeles-ca/2ycv5hc/
323, 11060 W Sunset Blvd, 11060 W Sunset Blvd, Los Angeles, CA, 90049, 73, $14000, 424-653-1282, https://www.apartments.com/11060-w-sunset-blvd-los-angeles-ca/18dy6y5/
324, 3912 Laurel Canyon Blvd Unit 207S, 3912 Laurel Canyon Blvd Unit 207S, Los Angeles, CA, 91604, 72, $1950, 747-263-1573, https://www.apartments.com/3912-laurel-canyon-blvd-los-angeles-ca-unit-207s/jpfj9c4/
325, 1318 Warnall Ave Unit Rear, 1318 Warnall Ave Unit Rear, Los Angeles, CA, 90024, 74, $3450, 424-244-3390, https://www.apartments.com/1318-warnall-ave-los-angeles-ca-unit-rear/206fhxb/
326, 4309 W Adams Blvd Unit 1-12, 4309 W Adams Blvd Unit 1-12, Los Angeles, CA, 90018, 66, $1750, 424-543-9502, https://www.apartments.com/4309-w-adams-blvd-los-angeles-ca-unit-1-12/8p7wdk2/
327, 1234 Cahuenga Blvd, 1234 Cahuenga Blvd, Los Angeles, CA, 90038, 67, $2095, 424-341-6134, https://www.apartments.com/1234-cahuenga-blvd-los-angeles-ca/c83wbbg/
328, 1744 Warnall Ave, 1744 Warnall Ave, Los Angeles, CA, 90024, 64, $4999, 323-486-1351, https://www.apartments.com/1744-warnall-ave-los-angeles-ca/wc90e6h/
329, 4613 S Van Ness Ave, 4613 S Van Ness Ave, Los Angeles, CA, 90062, 72, $2300, 844-733-3342, https://www.apartments.com/4613-s-van-ness-ave-los-angeles-ca/p6tsc8s/
330, 29 Brooks Ave Unit A, 29 Brooks Ave Unit A, Venice, CA, 90291, 71, $3950, 855-870-3595, https://www.apartments.com/29-brooks-ave-venice-ca-unit-a/2m5wn08/
331, 2222 Avenue of the Stars Unit 904, 2222 Avenue of the Stars Unit 904, Los Angeles, CA, 90067, 73, $7150, 424-260-5221, https://www.apartments.com/2222-avenue-of-the-stars-los-angeles-ca-unit-904/5ev4fxp/
332, 7560 Hollywood Blvd Unit 407, 7560 Hollywood Blvd Unit 407, Los Angeles, CA, 90046, 71, $3500, 323-618-1883, https://www.apartments.com/7560-hollywood-blvd-los-angeles-ca-unit-407/7dctncz/
333, 5778 Clemson St, 5778 Clemson St, Los Angeles, CA, 90016, 72, $1950, 844-830-8312, https://www.apartments.com/5778-clemson-st-los-angeles-ca/m51jvhj/
334, 6230 Lindenhurst Ave, 6230 Lindenhurst Ave, Los Angeles, CA, 90048, 70, $4500, 844-775-5545, https://www.apartments.com/6230-lindenhurst-ave-los-angeles-ca/ml34n3h/
335, 736 N Fuller Ave, 736 N Fuller Ave, West Hollywood, CA, 90046, 70, $1900, 562-247-9828, https://www.apartments.com/736-n-fuller-ave-west-hollywood-ca/d1b0kel/
336, 1845 Glendon Ave Unit 204, 1845 Glendon Ave Unit 204, Los Angeles, CA, 90025, 65, $2400, 424-258-0942, https://www.apartments.com/1845-glendon-ave-los-angeles-ca-unit-204/5bw5z6q/
337, 2407 Coldwater Canyon Dr, 2407 Coldwater Canyon Dr, Beverly Hills, CA, 90210, 75, $7950, 855-488-0293, https://www.apartments.com/2407-coldwater-canyon-dr-beverly-hills-ca/x93tg2m/
338, 2463 Century Hill Unit 0, 2463 Century Hill Unit 0, Los Angeles, CA, 90067, 75, $6800, 626-400-6804, https://www.apartments.com/2463-century-hill-los-angeles-ca-unit-0/2p1km39/
339, 1935 W 29th St, 1935 W 29th St, Los Angeles, CA, 90018, 73, $3500, 844-448-6523, https://www.apartments.com/1935-w-29th-st-los-angeles-ca/k5tm8m8/
340, 1600 Rising Glen Rd, 1600 Rising Glen Rd, Los Angeles, CA, 90069, 79, $10950, 424-526-2026, https://www.apartments.com/1600-rising-glen-rd-los-angeles-ca/efk4hkm/
341, 3840 Ingraham St, 3840 Ingraham St, Los Angeles, CA, 90005, 67, $1895, 855-379-3352, https://www.apartments.com/3840-ingraham-st-los-angeles-ca/87jtrb1/
342, 5564 Homeside Ave Unit 2, 5564 Homeside Ave Unit 2, Los Angeles, CA, 90016, 72, $2250, 844-677-3602, https://www.apartments.com/5564-homeside-ave-los-angeles-ca-unit-2/jnxphs7/
343, 8229 W 4th St, 8229 W 4th St, Los Angeles, CA, 90048, 71, $3600, 844-465-7142, https://www.apartments.com/8229-w-4th-st-los-angeles-ca/rcrbbe2/
344, 1211 N McCadden Pl Unit 106, 1211 N McCadden Pl Unit 106, Los Angeles, CA, 90038, 68, $1495, 844-310-8244, https://www.apartments.com/1211-n-mccadden-pl-los-angeles-ca-unit-106/k3wt3j9/
345, 335 S Bentley Ave, 335 S Bentley Ave, Los Angeles, CA, 90049, 70, $7750, 844-860-0627, https://www.apartments.com/335-s-bentley-ave-los-angeles-ca/d7g0ngl/
346, 8702 Bonner Dr, 8702 Bonner Dr, Los Angeles, CA, 90048, 67, $1950, 844-278-9072, https://www.apartments.com/8702-bonner-dr-los-angeles-ca/lpgv8ng/
347, 1132 S Oakhurst Dr Unit top 6, 1132 S Oakhurst Dr Unit top 6, Los Angeles, CA, 90035, 66, $2885, 562-263-4617, https://www.apartments.com/1132-s-oakhurst-dr-los-angeles-ca-unit-top-6/m6mj0rh/
348, 525 S Ardmore Ave Unit 121, 525 S Ardmore Ave Unit 121, Los Angeles, CA, 90020, 68, $1800, 855-669-3519, https://www.apartments.com/525-s-ardmore-ave-los-angeles-ca-unit-121/3rm8c1f/
349, 3536 W Adams Blvd, 3536 W Adams Blvd, Los Angeles, CA, 90018, 70, $2300, 213-349-4536, https://www.apartments.com/3536-w-adams-blvd-los-angeles-ca/mvnbeej/
350, 2748 W 15th St, 2748 W 15th St, Los Angeles, CA, 90006, 69, $2400, 844-556-0987, https://www.apartments.com/2748-w-15th-st-los-angeles-ca/z3ep78z/
351, 333 N Sierra Bonita Ave Unit 333, 333 N Sierra Bonita Ave Unit 333, Los Angeles, CA, 90036, 69, $3450, 855-783-1253, https://www.apartments.com/333-n-sierra-bonita-ave-los-angeles-ca-unit-333/12w94x5/
352, 9821 Beeson Dr, 9821 Beeson Dr, Beverly Hills, CA, 90210, 79, $22500, 424-325-7086, https://www.apartments.com/9821-beeson-dr-beverly-hills-ca/jw71le5/
353, 1444 Elkgrove Cir, 1444 Elkgrove Cir, Los Angeles, CA, 90291, 72, $2900, 844-323-0405, https://www.apartments.com/1444-elkgrove-cir-los-angeles-ca/th4e2j9/
354, 1901 W 42nd Pl, 1901 W 42nd Pl, Los Angeles, CA, 90062, 71, $2895, 844-807-1731, https://www.apartments.com/1901-w-42nd-pl-los-angeles-ca/phkfpev/
355, 928 N Western Ave, 928 N Western Ave, Los Angeles, CA, 90029, -, $3595, 855-872-4142, https://www.apartments.com/928-n-western-ave-los-angeles-ca/6wztest/
356, 3026 5th Ave, 3026 5th Ave, Los Angeles, CA, 90018, 73, $2492, 424-625-2379, https://www.apartments.com/3026-5th-ave-los-angeles-ca/cp9skhd/
357, 11826 Dorothy St Unit 202, 11826 Dorothy St Unit 202, Los Angeles, CA, 90049, 74, $4995, 844-813-9850, https://www.apartments.com/11826-dorothy-st-los-angeles-ca-unit-202/y0zkv6t/
358, 3125 S Canfield Ave, 3125 S Canfield Ave, Los Angeles, CA, 90034, 66, $2795, 818-350-2936, https://www.apartments.com/3125-s-canfield-ave-los-angeles-ca/ctm3h8e/
359, 1107 3rd Ave, 1107 3rd Ave, Los Angeles, CA, 90019, 70, $1800, 424-331-1368, https://www.apartments.com/1107-3rd-ave-los-angeles-ca/exm5zsm/
360, 1708 Clear View Dr, 1708 Clear View Dr, Beverly Hills, CA, 90210, 83, $14500, 844-286-7982, https://www.apartments.com/1708-clear-view-dr-beverly-hills-ca/v4gd49d/
361, 2006 Palisades Dr Unit 2006, 2006 Palisades Dr Unit 2006, Los Angeles, CA, 90272, 79, $7000, 747-205-6024, https://www.apartments.com/2006-palisades-dr-los-angeles-ca-unit-2006/e7m75xp/
362, 1233 S Castello Ave, 1233 S Castello Ave, Los Angeles, CA, 90035, 67, $9900, 844-323-9275, https://www.apartments.com/1233-s-castello-ave-los-angeles-ca/t47n3s8/
363, 3041 Laurel Canyon Blvd, 3041 Laurel Canyon Blvd, Studio City, CA, 91604, 71, $7950, 844-641-3050, https://www.apartments.com/3041-laurel-canyon-blvd-studio-city-ca/b8g97y9/
364, 2225 S Harvard Blvd, 2225 S Harvard Blvd, Los Angeles, CA, 90018, 65, $1600, 424-272-8594, https://www.apartments.com/2225-s-harvard-blvd-los-angeles-ca/werzbel/
365, 4034 Halldale Ave Unit Rear, 4034 Halldale Ave Unit Rear, Los Angeles, CA, 90062, 72, $2000, 424-231-3876, https://www.apartments.com/4034-halldale-ave-los-angeles-ca-unit-rear/5dd2q6n/
366, 4925 Beverly Blvd, 4925 Beverly Blvd, Los Angeles, CA, 90004, 73, $1500, 844-778-5567, https://www.apartments.com/4925-beverly-blvd-los-angeles-ca/xzhhxwp/
367, 6390 Quebec Dr, 6390 Quebec Dr, Los Angeles, CA, 90068, 75, $12500, 323-879-6469, https://www.apartments.com/6390-quebec-dr-los-angeles-ca/3jlqbhf/
368, 17172 Escalon Dr, 17172 Escalon Dr, Los Angeles, CA, 91436, 80, $4195, 844-883-6714, https://www.apartments.com/17172-escalon-dr-los-angeles-ca/2b9weyc/
369, 3446 Troy Dr, 3446 Troy Dr, Los Angeles, CA, 90068, 71, $8500, 855-522-6004, https://www.apartments.com/3446-troy-dr-los-angeles-ca/r5hr4h2/
370, 1554 Oriole Ln, 1554 Oriole Ln, Los Angeles, CA, 90069, 80, $6900, 424-610-4279, https://www.apartments.com/1554-oriole-ln-los-angeles-ca/1pyxse5/
371, 3500 W 27th St, 3500 W 27th St, Los Angeles, CA, 90018, 72, $2500, 424-331-1534, https://www.apartments.com/3500-w-27th-st-los-angeles-ca/vq86rvf/
372, 1771 Beloit Ave Unit 202, 1771 Beloit Ave Unit 202, Los Angeles, CA, 90025, 56, $3675, 213-335-7159, https://www.apartments.com/1771-beloit-ave-los-angeles-ca-unit-202/2lh285c/
373, 812 N Martel Ave Unit 2, 812 N Martel Ave Unit 2, West Hollywood, CA, 90046, 72, $1999, 424-269-6898, https://www.apartments.com/812-n-martel-ave-west-hollywood-ca-unit-2/8qc0qc2/
374, 3130 S Barrington Ave Unit E, 3130 S Barrington Ave Unit E, Los Angeles, CA, 90066, 69, $2995, 562-382-8411, https://www.apartments.com/3130-s-barrington-ave-los-angeles-ca-unit-e/dpdv3bk/
375, 8534 Colgate Ave Unit 3, 8534 Colgate Ave Unit 3, Los Angeles, CA, 90048, 69, $2550, 877-882-6502, https://www.apartments.com/8534-colgate-ave-los-angeles-ca-unit-3/j3xl7s7/
376, 2620 West Blvd, 2620 West Blvd, Los Angeles, CA, 90016, 65, $1500, 424-384-2676, https://www.apartments.com/2620-west-blvd-los-angeles-ca/7p72mvy/
377, 2052 S Hobart Blvd, 2052 S Hobart Blvd, Los Angeles, CA, 90018, 66, $5000, 424-363-1868, https://www.apartments.com/2052-s-hobart-blvd-los-angeles-ca/sw1yv57/
378, 2724 Reynier Ave, 2724 Reynier Ave, Los Angeles, CA, 90034, 65, $4950, 323-987-3008, https://www.apartments.com/2724-reynier-ave-los-angeles-ca/mcrw10j/
379, 656 Indiana Ct Unit 3, 656 Indiana Ct Unit 3, Los Angeles, CA, 90291, 70, $3900, 855-796-6658, https://www.apartments.com/656-indiana-ct-los-angeles-ca-unit-3/2b3gbwb/
380, 3654 Terrace View Dr, 3654 Terrace View Dr, Los Angeles, CA, 91436, 78, $7500, 844-295-1248, https://www.apartments.com/3654-terrace-view-dr-los-angeles-ca/pdqse6v/
381, 2153 W Washington Blvd, 2153 W Washington Blvd, Los Angeles, CA, 90018, 65, $1995, 844-788-0856, https://www.apartments.com/2153-w-washington-blvd-los-angeles-ca/cstfbnf/
382, 2535 Hauser Blvd Unit 2, 2535 Hauser Blvd Unit 2, Los Angeles, CA, 90016, 62, $625, 855-873-2655, https://www.apartments.com/2535-hauser-blvd-los-angeles-ca-unit-2/1v0s9p6/
383, 9170 Thrasher Ave, 9170 Thrasher Ave, Los Angeles, CA, 90069, 79, $25000, 424-526-2837, https://www.apartments.com/9170-thrasher-ave-los-angeles-ca/sv5j1x6/
384, 11811 Culver Blvd Unit 510, 11811 Culver Blvd Unit 510, Los Angeles, CA, 90066, 69, $3595, 424-331-1586, https://www.apartments.com/11811-culver-blvd-los-angeles-ca-unit-510/kd86f2c/
385, 2013 W Jefferson Blvd, 2013 W Jefferson Blvd, Los Angeles, CA, 90018, 70, $2500, 562-232-9489, https://www.apartments.com/2013-w-jefferson-blvd-los-angeles-ca/7z7ejjz/
386, 1245 McClellan Dr, 1245 McClellan Dr, Los Angeles, CA, 90025, 70, $2895, 844-261-2581, https://www.apartments.com/1245-mcclellan-dr-los-angeles-ca/gfsy4kz/
387, 11645 Chenault St, 11645 Chenault St, Los Angeles, CA, 90049, 76, $2895, 424-442-1743, https://www.apartments.com/11645-chenault-st-los-angeles-ca/7mntyxy/
388, 12731 Pacific Ave, 12731 Pacific Ave, Los Angeles, CA, 90066, 71, $1400, 877-453-1537, https://www.apartments.com/12731-pacific-ave-los-angeles-ca/z2tjfjz/
389, 6724 W Hepburn Way, 6724 W Hepburn Way, Los Angeles, CA, 90038, 68, $10900, 323-694-3876, https://www.apartments.com/6724-w-hepburn-way-los-angeles-ca/34cj9je/
390, 502 N Harper Ave, 502 N Harper Ave, Los Angeles, CA, 90048, 74, $4700, 323-473-3375, https://www.apartments.com/502-n-harper-ave-los-angeles-ca/1y4prg6/
391, 649 Midvale Ave, 649 Midvale Ave, Los Angeles, CA, 90024, 71, $5000, 323-694-3839, https://www.apartments.com/649-midvale-ave-los-angeles-ca/bx3mscc/
392, 1413 Abbot Kinney Blvd Unit A, 1413 Abbot Kinney Blvd Unit A, Los Angeles, CA, 90291, 68, $4700, 424-299-8782, https://www.apartments.com/1413-abbot-kinney-blvd-los-angeles-ca-unit-a/j1byzp6/
393, 109 Park Pl Unit 4, 109 Park Pl Unit 4, Venice, CA, 90291, 68, $3450, 844-862-0783, https://www.apartments.com/109-park-pl-venice-ca-unit-4/3q9p97d/
394, 1406 W 37th Pl, 1406 W 37th Pl, Los Angeles, CA, 90018, 70, $3000, 844-269-2501, https://www.apartments.com/1406-w-37th-pl-los-angeles-ca/qgmt4dy/
395, 1118 Cardiff Ave Unit 1, 1118 Cardiff Ave Unit 1, Los Angeles, CA, 90035, 71, $5500, 844-203-8038, https://www.apartments.com/1118-cardiff-ave-los-angeles-ca-unit-1/9289cz6/
396, 1118 Cardiff Ave Unit 3, 1118 Cardiff Ave Unit 3, Los Angeles, CA, 90035, 71, $3400, 844-203-8587, https://www.apartments.com/1118-cardiff-ave-los-angeles-ca-unit-3/l048mfd/
397, 2927 Woodwardia Dr, 2927 Woodwardia Dr, Los Angeles, CA, 90077, 77, $5950, 424-442-1898, https://www.apartments.com/2927-woodwardia-dr-los-angeles-ca/gh6fx2y/
398, 11728 Mayfield Ave Unit 1, 11728 Mayfield Ave Unit 1, Los Angeles, CA, 90049, 72, $2495, 844-260-1379, https://www.apartments.com/11728-mayfield-ave-los-angeles-ca-unit-1/208wpg9/
399, 11670 San Vicente Blvd Unit 212, 11670 San Vicente Blvd Unit 212, Los Angeles, CA, 90049, 72, $3250, 844-810-8962, https://www.apartments.com/11670-san-vicente-blvd-los-angeles-ca-unit-212/yxtf3mt/
400, 11300 Kingsland St, 11300 Kingsland St, Los Angeles, CA, 90066, 64, $1795, 424-526-2094, https://www.apartments.com/11300-kingsland-st-los-angeles-ca/rxynx93/
401, 7712 Hollywood Blvd Unit 10, 7712 Hollywood Blvd Unit 10, West Hollywood, CA, 90046, 70, $1795, 323-746-2414, https://www.apartments.com/7712-hollywood-blvd-west-hollywood-ca-unit-10/yjw5mer/
402, 1653 Stone Canyon Rd, 1653 Stone Canyon Rd, Los Angeles, CA, 90077, 85, $13500, 844-803-8790, https://www.apartments.com/1653-stone-canyon-rd-los-angeles-ca/3vlmbve/
403, 1616 Federal Ave, 1616 Federal Ave, Los Angeles, CA, 90025, 67, $3595, 844-365-2979, https://www.apartments.com/1616-federal-ave-los-angeles-ca/dslrlcj/
404, 1743 Stone Canyon Rd, 1743 Stone Canyon Rd, Los Angeles, CA, 90077, 83, $12950, 323-746-2441, https://www.apartments.com/1743-stone-canyon-rd-los-angeles-ca/ectx85q/
405, 911 Teakwood Rd, 911 Teakwood Rd, Los Angeles, CA, 90049, 83, $9000, 855-617-3399, https://www.apartments.com/911-teakwood-rd-los-angeles-ca/wd6x58j/
406, 12262 Sky Ln, 12262 Sky Ln, Los Angeles, CA, 90049, -, $10995, 949-264-8098, https://www.apartments.com/12262-sky-ln-los-angeles-ca/w0nzblk/
407, 13318 Mulholland Dr, 13318 Mulholland Dr, Beverly Hills, CA, 90210, 72, $65000, 844-595-3192, https://www.apartments.com/13318-mulholland-dr-beverly-hills-ca/n2n7wbq/
408, 256 S Van Ness Ave, 256 S Van Ness Ave, Los Angeles, CA, 90004, 68, $8995, 844-285-1091, https://www.apartments.com/256-s-van-ness-ave-los-angeles-ca/15rk3y6/
409, 221 S Poinsettia Pl Unit 221, 221 S Poinsettia Pl Unit 221, Los Angeles, CA, 90036, 68, $3900, 424-332-5267, https://www.apartments.com/221-s-poinsettia-pl-los-angeles-ca-unit-221/gkmb4my/
410, 2704 S Rimpau Blvd, 2704 S Rimpau Blvd, Los Angeles, CA, 90016, 68, $4950, 310-819-4403, https://www.apartments.com/2704-s-rimpau-blvd-los-angeles-ca/qpybt3x/
411, 753 N Kings Rd Unit 102, 753 N Kings Rd Unit 102, Los Angeles, CA, 90069, 73, $2500, 323-508-4388, https://www.apartments.com/753-n-kings-rd-los-angeles-ca-unit-102/h8m9pb3/
412, 6360 Orange St Unit 1, 6360 Orange St Unit 1, Los Angeles, CA, 90048, 67, $2750, 855-514-9135, https://www.apartments.com/6360-orange-st-los-angeles-ca-unit-1/5kkphnn/
413, 11044 Ophir Dr, 11044 Ophir Dr, Los Angeles, CA, 90024, 72, $4000, 844-869-1410, https://www.apartments.com/11044-ophir-dr-los-angeles-ca/p98q30v/
414, 10641 Missouri Ave Unit 204, 10641 Missouri Ave Unit 204, Los Angeles, CA, 90025, 70, $3950, 747-202-6548, https://www.apartments.com/10641-missouri-ave-los-angeles-ca-unit-204/wbhqc7k/
415, 11776 Idaho Ave, 11776 Idaho Ave, Los Angeles, CA, 90025, 71, $3500, 424-320-5632, https://www.apartments.com/11776-idaho-ave-los-angeles-ca/gq5xxcw/
416, 700 Main St Unit 14, 700 Main St Unit 14, Los Angeles, CA, 90291, 69, $6000, 844-799-3022, https://www.apartments.com/700-main-st-los-angeles-ca-unit-14/qnpq0zx/
417, 1611 S Beverly Glen Blvd Unit 503, 1611 S Beverly Glen Blvd Unit 503, Los Angeles, CA, 90024, 69, $3500, 844-703-9312, https://www.apartments.com/1611-s-beverly-glen-blvd-los-angeles-ca-unit-503/pqe2zwt/
418, 3935 Vineland Ave Unit 14, 3935 Vineland Ave Unit 14, Los Angeles, CA, 91604, 69, $1795, 818-853-9647, https://www.apartments.com/3935-vineland-ave-los-angeles-ca-unit-14/9c3qec6/
419, 8811 Burton Way Unit 306, 8811 Burton Way Unit 306, West Hollywood, CA, 90048, 67, $2950, 747-248-0567, https://www.apartments.com/8811-burton-way-west-hollywood-ca-unit-306/p3816kt/
420, 6861 Iris Cir, 6861 Iris Cir, Los Angeles, CA, 90068, 64, $9500, 844-388-0363, https://www.apartments.com/6861-iris-cir-los-angeles-ca/vcnn67g/
421, 11655 Iowa Ave Unit 10, 11655 Iowa Ave Unit 10, Los Angeles, CA, 90025, 69, $2395, 424-289-6715, https://www.apartments.com/11655-iowa-ave-los-angeles-ca-unit-10/6ctl51v/
422, 12025 Marine St, 12025 Marine St, Los Angeles, CA, 90066, -, $9500, 805-292-1093, https://www.apartments.com/12025-marine-st-los-angeles-ca/vlrytpd/
423, 1125 Las Pulgas Rd, 1125 Las Pulgas Rd, Pacific Palisades, CA, 90272, 80, $2200, 844-254-4830, https://www.apartments.com/1125-las-pulgas-rd-pacific-palisades-ca/b4vd3s8/
424, 1488 S Oakhurst Dr, 1488 S Oakhurst Dr, Los Angeles, CA, 90035, 71, $7999, 323-472-9136, https://www.apartments.com/1488-s-oakhurst-dr-los-angeles-ca/vfesgfd/
425, 4079 Woodman Cyn, 4079 Woodman Cyn, Sherman Oaks, CA, 91423, 75, $6495, 747-208-7437, https://www.apartments.com/4079-woodman-cyn-sherman-oaks-ca/y397zwv/
426, 2950 8th Ave Unit 2950, 2950 8th Ave Unit 2950, Los Angeles, CA, 90018, 71, $1850, 323-238-6687, https://www.apartments.com/2950-8th-ave-los-angeles-ca-unit-2950/epfc5lm/
427, 4196 Leimert Blvd Unit 1/2, 4196 Leimert Blvd Unit 1/2, Los Angeles, CA, 90008, 73, $1700, 844-375-8156, https://www.apartments.com/4196-leimert-blvd-los-angeles-ca-unit-1-2/pnsnr7t/
428, 3540 Berry Dr, 3540 Berry Dr, Los Angeles, CA, 91604, 78, $6995, 844-552-6049, https://www.apartments.com/3540-berry-dr-los-angeles-ca/tddjvd9/
429, 15012 Encanto Dr, 15012 Encanto Dr, Sherman Oaks, CA, 91403, 78, $6500, 424-231-3574, https://www.apartments.com/15012-encanto-dr-sherman-oaks-ca/js9svz6/
430, 301 N Sycamore Ave Unit 18, 301 N Sycamore Ave Unit 18, Los Angeles, CA, 90036, 70, $1450, 844-493-7190, https://www.apartments.com/301-n-sycamore-ave-los-angeles-ca-unit-18/8pgtsm2/
431, 3589 Stonewood Dr, 3589 Stonewood Dr, Los Angeles, CA, 91403, 72, $6749, 323-643-1808, https://www.apartments.com/3589-stonewood-dr-los-angeles-ca/kdx0zb8/
432, 3421 Arlington Ave, 3421 Arlington Ave, Los Angeles, CA, 90018, 69, $1870, 844-525-9280, https://www.apartments.com/3421-arlington-ave-los-angeles-ca/d6m7fej/
